,qid,query
0,156493, lifespan of goldfish maximum size of goldfish factors affecting goldfish growth goldfish growth rate caring for growing goldfish goldfish tank size requirements 
1,1110199, wifi vs bluetooth advantages and disadvantages when to use wifi vs bluetooth differences between wifi and bluetooth technology connecting devices with wifi and bluetooth speed comparison of wifi and bluetooth security features of wifi and bluetooth 
2,1063750, US motivations for entering WW1 key events leading to US involvement in WW1 Lusitania sinking and its impact on US public opinion Germany s unrestricted submarine warfare US economic ties to Allied powers Woodrow Wilson s perspective on the war 
3,130510, legal concept of declaratory judgment purpose and function of declaratory judgments when to seek a declaratory judgment difference between declaratory and injunctive relief examples of declaratory judgments legal process for obtaining a declaratory judgment 
4,489204, medical conditions causing right pelvic pain reproductive organ issues and right pelvic pain musculoskeletal causes of right pelvic pain digestive issues and right pelvic pain nerve pain and right pelvic pain diagnostic tests for right pelvic pain 
5,573724, factors influencing population health outcomes social inequalities and health disparities impact of socioeconomic status on health access to healthcare and health outcomes role of education and income in health public policy interventions for health equity 
6,1133167, current weather conditions in Jamaica weather forecast for Jamaica climate zones and variations in Jamaica best time to visit Jamaica based on weather typical weather patterns in Jamaica impact of weather on tourism in Jamaica 
7,527433, Spastic dysarthria in cerebral palsy Flaccid dysarthria in cerebral palsy Ataxic dysarthria in cerebral palsy Mixed dysarthria in cerebral palsy Hyperkinetic dysarthria in cerebral palsy Hypokinetic dysarthria in cerebral palsy Speech therapy for dysarthria in cerebral palsy Assistive technologies for dysarthria in cerebral palsy 
8,1037798, Who is Robert Gray and what is he known for What are Robert Gray s contributions to field Biography of Robert Gray Robert Gray s most famous works Awards and recognition received by Robert Gray Current work and activities of Robert Gray Quotes by Robert Gray Controversies and criticisms surrounding Robert Gray 
9,915593, Foods suitable for sous vide cooking Sous vide cooking techniques Recipes for sous vide cooking Benefits of sous vide cooking Equipment needed for sous vide cooking Safety considerations for sous vide cooking Sous vide cooking vs. traditional cooking methods Popular ingredients for sous vide cooking Best cuts of meat for sous vide cooking 
10,264014, Stages of the flea life cycle How long does each stage of the flea life cycle last Where do fleas lay their eggs What do fleas eat at each stage of their life cycle How to control flea populations Natural ways to get rid of fleas Flea prevention tips for pets Health risks associated with fleas Interesting facts about the flea life cycle 
11,1121402, Benefits of contour plowing What does contour plowing reduce How does contour plowing work When to use contour plowing Disadvantages of contour plowing Alternatives to contour plowing History of contour plowing Environmental impact of contour plowing Examples of contour plowing 
