,qid,query
0,156493, goldfish fish growth aquatic pets tank maintenance feeding habits development stages fish care aquariums pet ownership goldfish lifespan aquarium conditions goldfish varieties goldfish diseases aquarium filtration goldfish breeding water chemistry fish compatibility aquarium decoration goldfish history goldfish symbolism goldfish in mythology 
1,1110199, wifi bluetooth wireless networking internet of things data transmission connectivity wireless protocols networking standards signal range device pairing smart home wireless speakers wearable tech wireless headphones network security bandwidth interference wireless routers data encryption wireless charging 
2,1063750, world war 1 us foreign policy zimmermann telegram u boat warfare lusitania sinking woodrow wilson neutrality isolationism league of nations treaty of versailles allied powers central powers trench warfare propaganda american expeditionary force armistice day post war europe american casualties WWI political impacts WW1 economic impacts WW1 
3,130510, declaratory judgment legal remedies civil procedure jurisdiction justiciability case or controversy contracts intellectual property administrative law constitutional law statutory interpretation precedent appellate courts judicial review litigation injunctions legal rights standing burden of proof advisory opinions 
4,489204, right pelvic pain abdominal pain appendicitis ovarian cysts endometriosis pelvic inflammatory disease ectopic pregnancy urinary tract infection kidney stones gastrointestinal issues menstrual cramps ovulation pain ibs constipation hernia muscle strain cancer diverticulitis women s health men s health 
5,573724, social determinants of health health disparities public health healthcare access socioeconomic factors health equity racism poverty housing education nutrition social support environment policy community engagement health literacy transportation chronic disease preventive care population health 
6,1133167, weather in jamaica jamaica climate tropical weather caribbean tourism montego bay negril ocho rios hurricane season travel planning beaches water temperature rainfall humidity outdoor activities sun protection island life best time to visit weather forecasts historical weather data 
7,527433, types of dysarthria cerebral palsy speech disorders neurological disorders motor control communication spastic dysarthria flaccid dysarthria ataxic dysarthria hypokinetic dysarthria hyperkinetic dysarthria therapy assistive technology speech pathology neuromuscular function articulation prosody respiration developmental disabilities brain injury quality of life 
8,1037798, robert gray explorers maritime history pacific northwest columbia river fur trade circumnavigation american revolution colonialism biography historical figures oregon history washington history british columbia cartography navigation shipbuilding indigenous peoples european contact american westward expansion 
9,915593, sous vide cooking techniques precision cooking meats seafood vegetables eggs fruits sous vide recipes food safety kitchen appliances gourmet tenderness juiciness water bath immersion circulator vacuum sealing flavor infusion restaurant quality food science 
10,264014, flea life cycle fleas insects parasites pets pest control infestations eggs larvae pupae adults flea bites disease transmission pet health insecticides grooming environmental control veterinary care allergies itching 
11,1121402, contour plowing soil erosion water runoff land management agricultural practices soil conservation topsoil loss crop yields sustainable farming environmental impact sedimentation nutrient loss water quality farmland preservation agricultural policy gully formation rill erosion waterways slope stability drainage 
12,962179, salvation army william booth catherine booth charities religion christianity social services homelessness poverty addiction disaster relief history of charities philanthropy non profit organizations community outreach social justice evangelism 19th century history Victorian England social reform 
13,1117099, active margin plate tectonics convergent boundaries subduction zones volcanoes earthquakes mountain ranges ocean trenches geology continental crust oceanic crust mid ocean ridges ring of fire earth science seismology volcanology tsunamis geophysics earth s interior 
14,148538, rn vs bsn nursing nursing education registered nurse bachelor of science in nursing healthcare careers patient care scope of practice hospital settings specializations advanced practice nursing career advancement salary licensure nursing schools medical terminology clinical skills leadership 
15,451602, medicare mechanical ventilation respiratory support healthcare coverage medical devices insurance respiratory failure critical care icu durable medical equipment respiratory therapy oxygen therapy chronic lung disease hospital billing healthcare policy reimbursement medical coding 
16,359349, midsegment of a trapezoid geometry trapezoids parallel lines triangles congruency median midpoint proofs polygons area formulas perimeter coordinate geometry high school math measurement spatial reasoning 
17,1115776, aml surveillance analyst anti money laundering financial crimes compliance banking risk management kyc transaction monitoring suspicious activity reports fraud detection regulations data analysis investigations financial intelligence law enforcement 
18,1112341, daily life thailand thai culture southeast asia buddhism family food markets street vendors festivals tourism thai language wat rice farming Bangkok rural life transportation customs and traditions social norms tropical climate 
19,131843, sigmet aviation weather advisories meteorology turbulence icing severe weather air traffic control pilot safety flight planning hazards volcanic ash meteorological terminology noaa 
