,qid,query
0,156493, Goldfish Focus of the query seeking information about growth Tank size Relates to goldfish growth and living conditions Water quality Important for the health and growth of goldfish Nutrition Impacts the growth and overall health of goldfish 
1,1110199, WiFi Wireless connectivity technology Bluetooth Wireless communication standard Frequency bands Different spectrums for signal transmission Low power connections Energy efficient communication options 
2,1063750, World War I Main historical event being queried Germany Key participant in World War I Submarine warfare A tactic used during World War I Zimmermann Telegram An event impacting the US decision to enter the war 
3,130510, Declaratory judgments Legal term relating to court decisions Legal positions Aspects concerning legal stances or arguments Rights Legal entitlements or claims Legal disputes Conflicts or controversies within a legal context 
4,489204, Pelvic pain Main symptom prompting the query Ovarian cysts A potential cause of pelvic pain Appendicitis Another possible cause of right pelvic pain Diagnosis Methods to identify the cause of pelvic pain 
5,573724, Social determinants Factors impacting health beyond medical care Healthcare access Availability of medical services Economic status Financial situation affecting health Health inequalities Disparities in health outcomes among different groups 
6,1133167, Jamaica Location related to weather query Tropical climate Climate description of Jamaica Altitude Impacts weather conditions in various regions Hurricane season Period prone to hurricanes in the region 
7,527433, Dysarthria Speech disorder related to cerebral palsy Cerebral palsy Neurological condition impacting speech Speech clarity An issue affected by dysarthria Communication devices Assistive tools for individuals with dysarthria 
8,1037798, Robert Gray Possibly a historical figure or name Northwest coast Geographical area related to Robert Gray Exploration Possibly referring to historical exploration Maritime fur trade Trade activity in the mentioned region 
9,915593, Sous vide cooking Method involving vacuum sealing food and precise water temperature Vacuum sealing Process of removing air before cooking food Precise water bath Maintaining consistent temperature while cooking Immersion circulators Devices used for sous vide cooking 
10,264014, Flea life cycle Various stages in the life of fleas Egg stage Initial phase in the life cycle of fleas Pupa Stage of flea development Adult fleas Mature stage of the flea life cycle 
11,1121402, Contour plowing Farming technique to prevent soil erosion Soil erosion Natural process causing loss of topsoil Water runoff Movement of water over the land surface Soil fertility The ability of soil to sustain plant growth 
12,962179, The Salvation Army A charitable organization providing social services William Booth Founder of The Salvation Army Catherine Booth Co founder of The Salvation Army Social services Programs to assist the needy 
